l[m],1MHz,10MHz,100MHz,1000MHz
0.251,55.52835075,35.52835075,15.52835075,-4.471649249
0.257,55.32316271,35.32316271,15.32316271,-4.676837286
0.263,55.12271021,35.12271021,15.12271021,-4.877289789
0.269,54.92677958,34.92677958,14.92677958,-5.073220419
0.275,54.7351713,34.7351713,14.7351713,-5.264828695
0.282,54.51684301,34.51684301,14.51684301,-5.483156985
0.288,54.33397543,34.33397543,14.33397543,-5.666024574
0.295,54.12538486,34.12538486,14.12538486,-5.874615138
0.302,53.92168632,33.92168632,13.92168632,-6.078313678
0.309,53.72265559,33.72265559,13.72265559,-6.277344407
0.316,53.52808353,33.52808353,13.52808353,-6.471916471
0.324,53.31092498,33.31092498,13.31092498,-6.689075023
0.331,53.12526531,33.12526531,13.12526531,-6.874734694
0.339,52.91783122,32.91783122,12.91783122,-7.082168783
0.347,52.71523569,32.71523569,12.71523569,-7.284764315
0.355,52.51725812,32.51725812,12.51725812,-7.48274188
0.363,52.32369268,32.32369268,12.32369268,-7.67630732
0.372,52.11096638,32.11096638,12.11096638,-7.889033617
0.38,51.92615325,31.92615325,11.92615325,-8.073846751
0.389,51.72283315,31.72283315,11.72283315,-8.277166845
0.398,51.52416374,31.52416374,11.52416374,-8.47583626
0.407,51.329937,31.329937,11.329937,-8.670063003
0.417,51.11910408,31.11910408,11.11910408,-8.880895918
0.427,50.91326768,30.91326768,10.91326768,-9.086732319
0.437,50.71219644,30.71219644,10.71219644,-9.287803558
0.447,50.51567472,30.51567472,10.51567472,-9.484325282
0.457,50.32350118,30.32350118,10.32350118,-9.67649882
0.468,50.11690812,30.11690812,10.11690812,-9.88309188
0.479,49.91511491,29.91511491,9.915114913,-10.08488509
0.49,49.71790358,29.71790358,9.717903581,-10.28209642
0.501,49.52507066,29.52507066,9.525070664,-10.47492934
0.513,49.31947788,29.31947788,9.319477879,-10.68052212
0.525,49.11863911,29.11863911,9.118639113,-10.88136089
0.537,48.92233947,28.92233947,8.922339467,-11.07766053
0.55,48.71457139,28.71457139,8.714571391,-11.28542861
0.562,48.52709887,28.52709887,8.52709887,-11.47290113
0.575,48.32846829,28.32846829,8.328468287,-11.67153171
0.589,48.11951929,28.11951929,8.119519285,-11.88048071
0.603,47.91547894,27.91547894,7.915478938,-12.08452106
0.617,47.7161219,27.7161219,7.7161219,-12.2838781
0.631,47.521238,27.521238,7.521237996,-12.478762
0.646,47.31717482,27.31717482,7.317174821,-12.68282518
0.661,47.11779599,27.11779599,7.117795991,-12.88220401
0.676,46.92289126,26.92289126,6.922891262,-13.07710874
0.692,46.71970329,26.71970329,6.719703292,-13.28029671
0.708,46.52116003,26.52116003,6.521160027,-13.47883997
0.724,46.32705386,26.32705386,6.327053857,-13.67294614
0.741,46.12546102,26.12546102,6.125461022,-13.87453898
0.759,45.91698966,25.91698966,5.916989663,-14.08301034
0.776,45.72459076,25.72459076,5.724590756,-14.27540924
0.794,45.52541513,25.52541513,5.525415133,-14.47458487
0.813,45.32001427,25.32001427,5.320014269,-14.67998573
0.832,45.11935866,25.11935866,5.119358655,-14.88064134
0.851,44.92323398,24.92323398,4.923233979,-15.07676602
0.871,44.72146208,24.72146208,4.721462081,-15.27853792
0.891,44.5242711,24.5242711,4.5242711,-15.4757289
0.912,44.32192841,24.32192841,4.321928415,-15.67807159
0.933,44.12419231,24.12419231,4.124192306,-15.87580769
0.955,43.92175775,23.92175775,3.921757749,-16.07824225
0.977,43.72393391,23.72393391,3.723933907,-16.27606609
1,43.52182518,23.52182518,3.521825181,-16.47817482
